api_name,english_name,english_description,japanese_name,japanese_description,target_name,target_description,translation_notes
HIGURASHI_STORY_EP05_01,"Goodbye, Sister",Broke out of a prison.,さようなら、シスター,脱獄。,再见，姐姐,越狱。,
HIGURASHI_STORY_EP05_02,"Hello, Sister",Reunited with a close relative.,こんにちは、お姉,家族との再会。,你好，姐姐,与亲近的家人重逢。,
HIGURASHI_STORY_EP05_03,A Hopeless Pair,Went shopping with a nice young man.,どうしようもない二人,優しい少年と買い物をした。,无可救药的两人,与一位善良的年轻人一起购物。,
HIGURASHI_STORY_EP05_04,Possessed,Heard a story about Oyashiro-sama.,憑依,オヤシロさまの話を聞く。,附身,听到了关于御社神大人的故事。,
HIGURASHI_STORY_EP05_05,Plea Ignored,Listened to someone's desperate request.,聞き入れてもらえない願い,彼の必死の願いを聞かされた。,被忽视的哀求,听到了某人绝望的请求。,
HIGURASHI_STORY_EP05_06,Absentee Present,Covered for a murderer.,贈り主不在のプレゼント,殺人者を庇った。,缺席者在场,为一名杀人犯打掩护。,
HIGURASHI_STORY_EP05_07,Train to Nowhere,Had a dear friend go missing.,列車はいずこへ,親しい友達が失踪。,开往无处的列车,亲爱的朋友失踪了。,
HIGURASHI_STORY_EP05_08,Payment,Reconciled with a close relative.,ケジメ,親戚と仲直り。,代价,与亲近的家人和解。,
HIGURASHI_STORY_EP05_09,Defilers,Broke into a forbidden place.,神への冒涜,禁じられた場所に侵入。,亵渎者,闯入了禁地。,
HIGURASHI_STORY_EP05_10,Sting of Payback,Took the first step towards revenge.,仇討ちの痛み,復讐の第一歩を踏み出した。,复仇的刺痛,踏出了复仇的第一步。,
HIGURASHI_STORY_EP05_11,Tying Your Own Noose,Took another step on the journey of revenge.,自分の首を絞める,復讐の第二歩を踏み出した。,自缢绳套,在复仇之路上又迈出了一步。,
HIGURASHI_STORY_EP05_12,The Path to Hell,Continued down the road into darkness.,地獄への道,更なる深淵に転がり落ちる。,通往地狱的道路,继续走在通往黑暗的路上。,
HIGURASHI_STORY_EP05_13,Shocking End,Killed someone very dear to you.,電撃的終焉,大切な人を殺した。,震撼结局,杀死了对你而言非常重要的人。,
HIGURASHI_STORY_EP05_ENDING,Revelation,Reached an epiphany at the end of it all.,啓示,終幕に悟る。,真相揭示,终于在一切结束时顿悟。,
HIGURASHI_STORY_EP05_OMAKE,Meakashi Staff Room,Had a chat with Ryuukishi07.,目明し打ち上げ,目明しのオマケを読む。,目明篇幕后谈,与龙骑士07聊过。,
HIGURASHI_STORY_EP05_TIPS,Detective - Meakashi,Read all TIPS in Meakashi.,刑事―目明し編,目明し編のTIPSを全て読み終える。,侦探——目明篇,读完目明篇的全部 TIPS。,
